id,severity,type,summary,source_file,symbol,evidence_status,relationship_status,duplicate_of,phase,pr,owner,acceptance_test,evidence,remediation_status,residual_risk,due_date
D1-H1,MEDIA,roles,Drift: rules/rbac-config.json declara admin|accountant mientras CompanyRole runtime es company_admin|employee|viewer; useRBAC alimenta gates de UI,rules/rbac-config.json; src/hooks/useRBAC.ts; src/components/assistant/FinancialAssistantPanel.tsx,useRBAC,CONFIRMED,INDEPENDENT,,4-5,5aa53afcc21b0b2653f93bf12563441184f0d53d,,Gate 5: vocabulario unico de roles en config/runtime; guards sin company_admin global,"c2552f9: rbac-config.json roles [super_admin,admin,accountant,viewer]; src/lib/rbac.ts CompanyRole=company_admin|employee|viewer; prisma schema SIN enum CompanyRole (role free String); useRBAC (useRBAC.ts:13) checa permissions[resource][action].includes(role); unico consumidor FinancialAssistantPanel.tsx:49 con mapping company_admin->admin, viewer->viewer, employee->raw; cierre: 5aa53af; PR #21 / merge 726b0b2: RBAC vocabulary unified; legacy admin/accountant removed from rbac-config; FinancialAssistantPanel uses tenant role identity; tests updated; useRBAC unchanged",CLOSED_WITH_EVIDENCE,config y UI alineados al vocabulario runtime; sin residual en alcance D1-H1,
D1-H3,OBSERVACION,rate-limit,Rate limit por IP desactivado por defecto (CLIENT_IP_SOURCE=vacio); decision de operacion para despliegue internet-facing,src/lib/security/rate-limiter.ts; src/lib/security/client-ip.ts,,CONFIRMED,INDEPENDENT,,4-5,,,Gate 11: rate limiting por IP activo segun perfil de despliegue,c2552f9: .env.example CLIENT_IP_SOURCE= vacio; getClientIpSource() devuelve none cuando no esta seteado (client-ip.ts:12); getClientIp null; login/route.ts:13 pasa null ip a authRateLimiter.check,OPEN,despliegues internet-facing sin dimension IP en login/register; checkRateLimit principal solo por userId:companyId,
D1-H4,BAJA,enumeration,Enumeracion por timing en login: bcrypt solo si el usuario existe (auth.service.ts:23-45),src/lib/services/auth.service.ts,login,CONFIRMED,INDEPENDENT,,4-5,a4c814d,,Gate 11: login con timing neutro para usuarios inexistentes (dummy compare),c2552f9: AuthService.login (auth.service.ts:23): findUnique -> if (!user || !user.isActive) throw AuthError -> THEN verifyPassword; sin dummy compare para usuarios inexistentes,OPEN,oraculo de existencia de usuario via timing de respuesta,
D1-H5,OBSERVACION,legacy,"Helpers legacy sin consumidores: hasCompanyAccess (auth.ts:14) y verifyCompanyAccess (verify-access.ts:18, sin check company.isActive)",src/lib/verify-access.ts; src/lib/auth.ts,verifyCompanyAccess,CONFIRMED,INDEPENDENT,,4-5,,,Fase 12: limpieza de helpers legacy,c2552f9: rg muestra 0 consumidores para hasCompanyAccess (auth.ts:14) y verifyCompanyAccess (verify-access.ts:18); ambos definidos pero sin uso,OPEN,"dead code; si se reconecta, verifyCompanyAccess no chequea Company.isActive",
D1-H6,MEDIA,role-validation,POST /api/admin/companies/[id]/users aceptaba role sin validar contra enum,src/app/api/admin/companies/[id]/users/route.ts; src/lib/validations/admin.ts,,PARTIALLY_CONFIRMED,INDEPENDENT,,4-5,a4c814d,,Gate 5: rol invalido devuelve 400 y no se persiste,"c2552f9: admin/companies/[id]/users/route.ts POST: if (!INVITABLE_ROLES.includes(role)) return 400 (anadido por a4c814d); INVITABLE_ROLES=[company_admin,employee,viewer] en validations/admin.ts; validacion manual de array, no Zod",CLOSED_WITH_EVIDENCE,role validado contra enum via array manual (no Zod); otros campos del body sin validar,
D2-H1,ALTA,role-gate,PATCH /api/fiscal-periods/[id] sin gate de rol,src/app/api/fiscal-periods/[id]/route.ts,,CONFIRMED,DUPLICATE,D3-F1,5-7,96777cc16bc5f73c865f54310e2eae0a91d53213,,Gate 5: viewer no escribe; employee solo ejecuta permisos documentados,c2552f9: fiscal-periods/[id]/route.ts PATCH usa solo requireCompanyContext() + membresia activa; cero requireCompanyRole en el archivo; cierre: 96777cc; PR #19 / merge 6a8e735: fiscal-periods PATCH lock/unlock role gate,CLOSED_WITH_EVIDENCE,lock/unlock gated por rol; formalizado como duplicado de D3-F1,
D2-H2,MEDIA,role-gate,CRUD de accounts sin gate de rol (cualquier miembro),src/app/api/accounts/route.ts; src/app/api/accounts/[id]/route.ts,POST,PARTIALLY_CONFIRMED,INDEPENDENT,,5-7,7aaf03c,,Gate 5: company_admin administra cuentas; viewer no escribe,"c2552f9: accounts/route.ts POST y accounts/[id]/route.ts PUT+DELETE cada uno con requireCompanyRole(companyId,[company_admin]) (3 call sites por 7aaf03c); GET list + GET by-id sin requireCompanyRole",CLOSED_WITH_EVIDENCE,escrituras gated; lecturas (GET list/by-id) sin gate de rol,
D2-H3,MEDIA,role-gate,PUT /api/journal/[id] sin gate de rol (edicion de borrador),src/app/api/journal/[id]/route.ts; src/app/api/journal/route.ts,PUT,CONFIRMED,INDEPENDENT,,5-7,96777cc16bc5f73c865f54310e2eae0a91d53213,,Gate 5: viewer no escribe; empleado solo edita con permiso,"c2552f9: journal/[id]/route.ts PUT con apiHandler {requireMembership:false} + chequeo manual companyMember.findUnique({userId, companyId: existing.companyId}) (solo membresia, NO requireCompanyRole sobre entry.companyId); updates dentro de db.$transaction; SIN createAuditLogWithRetry; SIN assertActiveFiscalPeriod en cambio de fecha; cierre: 96777cc; PR #19 / merge 6a8e735: journal draft PUT company-role gate",CLOSED_WITH_EVIDENCE,PUT draft gated por rol; auditoria de update fuera del alcance del role gate,
D2-H4,ALTA,audit,POST /api/journal status:posted saltea AuditLog + recalculateBalance,src/app/api/journal/route.ts; src/lib/services/journal.service.ts,JournalService.create,CONFIRMED,INDEPENDENT,,5-7,,Gate 6: eventos obligatorios atomicos; POST posted audita y recalcula balance,"c2552f9: journal/route.ts POST -> JournalService.create (journal.service.ts): cero createAuditLog/createAuditLogWithRetry; createJournalEntrySchema permite status z.enum([draft,posted]); el action post separado en journal/[id]/route.ts SI audita+recalcula; cierre: JournalService.create ahora recibe userId, crea AuditLog con action:create + userId real y recalculateBalance para glAccountIds unicos dentro de $transaction cuando status=posted; validacion interna: posted sin userId rechazado antes de persistir; rollback completo si falla audit o balance; draft sin cambios; 40/40 tests PASS (13 D2-H4 + 27 regresion journal-post-void/rollback/filter)",CLOSED_WITH_EVIDENCE,D2-H4 cerrado; asiento posted creado directamente audita con actor real y recalcula balances atomicamente; posted sin userId rechazado; draft sin cambios; D2-H5 permanece abierto,
D2-H5,MEDIA,audit,Borrador de asiento sin AuditLog (POST journal draft),src/lib/services/journal.service.ts,JournalService.create,CONFIRMED,INDEPENDENT,,5-7,,Gate 6: creacion de borrador con evento,"c2552f9: journal.service.ts create escribe journalEntry + lines solo; sin audit en la ruta de creacion; cierre: 83246a1: JournalService.create exige userId para toda creacion; toda creacion (draft o posted) genera exactamente un AuditLog action:create dentro de la misma $transaction con userId real; draft no recalcula balances; posted conserva recalculateBalance; fallo de AuditLog de draft hace rollback completo; sin AuditLog duplicado para posted; 44/44 tests PASS (17/17 especificos + 27/27 regresion)",CLOSED_WITH_EVIDENCE,D2-H5 cerrado; creacion de JournalEntry siempre audita con actor real; draft sin recalc de balances; D2-H6/D2-H7/D2-H9/D2-H14 permanecen abiertos,
D2-H6,MEDIA,audit,CRUD de accounts sin AuditLog,src/app/api/accounts/route.ts; src/app/api/accounts/[id]/route.ts,,CONFIRMED,INDEPENDENT,,5-7,7aaf03c,,Gate 6: ACCOUNT_CREATED/UPDATED/DELETED atomicos,c2552f9: rg auditLog src/app/api/accounts/route.ts src/app/api/accounts/[id]/route.ts -> 0 matches; 7aaf03c toco solo el gate de rol,OPEN,CRUD contable sin decision registrada,
